Age,Gender,Occupation,Location,Marital Status,Family Size,Values,Interests,Desires,Goals,Lifestyle Choices,Social Status,Attitudes,Fears,Income,Net Worth,Credit Score,Debt-to-Income Ratio,Investment Portfolio,Product Usage,Purchase History,Customer Loyalty,Digital Channel Preference/Usage,Online Activity
35,Female,Doctor,Perth,Divorced,3,Family,Cooking,Health,Travel,Traditional,Middle Class,Realistic,Loneliness,144738,575860,661,0.26,Real Estate,Occasional,Electronics,Medium,Website,Social Networking
58,Non-binary,Lawyer,Adelaide,Divorced,4,Community,Gaming,Happiness,Financial Independence,Urban,Upper Middle Class,Optimistic,Failure,72129,364405,788,0.37,Stocks,Rare,Home Goods,Medium,Mobile App,Social Networking
64,Female,Lawyer,Sydney,Widowed,2,Integrity,Travel,Wealth,Education,Urban,Upper Middle Class,Realistic,Failure,31447,97551,783,0.42,Real Estate,Frequent,Home Goods,Medium,Mobile App,Gaming
27,Female,Scientist,Newcastle,Divorced,3,Family,Gaming,Wealth,Fitness,Urban,Upper Class,Realistic,Failure,91901,648695,755,0.18,Stocks,Rare,Home Goods,Medium,Mobile App,Learning
52,Female,Nurse,Sydney,Widowed,3,Integrity,Technology,Happiness,Travel,Urban,Upper Middle Class,Realistic,Rejection,80828,74260,844,0.33,Mutual Funds,Occasional,Clothing,Medium,Email,Gaming
57,Non-binary,Manager,Sydney,Divorced,5,Family,Travel,Knowledge,Education,Traditional,Upper Class,Pessimistic,Loneliness,65443,19739,842,0.07,Cryptocurrency,Frequent,Groceries,High,Website,Learning
19,Female,Lawyer,Newcastle,Widowed,2,Family,Sports,Adventure,Education,Eco-friendly,Lower Class,Realistic,Failure,76951,683886,492,0.18,Mutual Funds,Rare,Electronics,Medium,Mobile App,Shopping
45,Female,Scientist,Newcastle,Married,2,Family,Reading,Adventure,Fitness,Eco-friendly,Upper Class,Optimistic,Failure,41021,407625,588,0.0,Mutual Funds,Frequent,Electronics,High,Email,Gaming
62,Female,Sales,Brisbane,Married,4,Integrity,Travel,Health,Financial Independence,Eco-friendly,Lower Class,Optimistic,Loneliness,38788,226589,684,0.27,Mutual Funds,Never,Home Goods,Low,Social Media,Learning
26,Male,Nurse,Gold Coast,Divorced,2,Innovation,Cooking,Happiness,Career Advancement,Urban,Upper Class,Realistic,Financial Instability,72494,163438,608,0.09,Stocks,Frequent,Groceries,Medium,Social Media,Learning
67,Male,Technician,Newcastle,Divorced,4,Integrity,Arts,Happiness,Financial Independence,Urban,Upper Middle Class,Realistic,Rejection,130390,737746,712,0.37,Cryptocurrency,Occasional,Toys,High,Website,Gaming
25,Male,Teacher,Wollongong,Single,4,Integrity,Sports,Adventure,Travel,Luxury,Lower Class,Idealistic,Loneliness,88808,462206,597,0.43,Real Estate,Frequent,Groceries,Medium,Social Media,Learning
27,Male,Manager,Newcastle,Divorced,2,Integrity,Travel,Knowledge,Travel,Minimalist,Lower Class,Pessimistic,Rejection,134313,150614,413,0.21,Mutual Funds,Rare,Toys,Low,Social Media,Learning
34,Female,Manager,Newcastle,Married,1,Family,Travel,Happiness,Education,Urban,Lower Class,Pessimistic,Financial Instability,65202,987462,688,0.4,Bonds,Rare,Electronics,Low,Social Media,Shopping
